coach,n_qbs,avg_delta,avg_pctile_with,avg_pctile_elsewhere,t_stat,p_value
Brian Flores,2,-0.1519097222222222,0.3125,0.4644097222222222,-7.608695652173908,0.08319320219048497
Marty Mornhinweg,2,-0.1578125,0.15625,0.3140625,-1.1348314606741572,0.45984576942218186
Adam Gase,4,-0.1613988295250896,0.390625,0.5520238295250897,-1.7786989770538568,0.17334406869274152
Mike McCarthy,2,-0.16506410256410256,0.4635416666666667,0.6286057692307693,-0.5802816901408451,0.665268792892696
Brian Daboll,4,-0.16888020833333334,0.3092447916666667,0.478125,-1.369802028363902,0.26426807712967254
Ken Whisenhunt,3,-0.17735042735042736,0.4322916666666667,0.609642094017094,-2.1763562022103087,0.16148280669440954
Bill Muir,4,-0.18363155241935483,0.359375,0.5430065524193548,-1.8471578110523952,0.16188128708713223
Dennis Allen,3,-0.1886574074074074,0.3125,0.5011574074074074,-2.711030767740526,0.1133833327414263
Bill Callahan,2,-0.2109375,0.40625,0.6171875,-3.0,0.20483276469913345
Chuck Pagano,3,-0.21316364247311834,0.34722222222222215,0.5603858646953405,-1.6825996058590587,0.23448111865658552
Alex Van Pelt,5,-0.22541666666666665,0.35625,0.5816666666666667,-1.141369261382836,0.3174058879324776
Sherman Lewis,2,-0.23693716397849462,0.3034274193548387,0.5403645833333333,-0.9099854815292789,0.5299806741144399
Bobby Petrino,2,-0.2448084677419355,0.0473790322580645,0.2921875,-2.1557922769640476,0.2765001094502247
Dick Jauron,2,-0.2641129032258064,0.265625,0.5297379032258064,-0.7380281690140844,0.595240328217696
Freddie Kitchens,2,-0.28489583333333335,0.2109375,0.49583333333333335,-7.493150684931501,0.08446115907655297
Jeremy Bates,2,-0.29826108870967744,0.109375,0.40763608870967744,-2.100266193433895,0.28289473526436104
Dave McGinnis,2,-0.3157762096774194,0.21547379032258066,0.53125,-9.145985401459857,0.06933106922330218
