coach,qb_id,qb_name,tenure_first,tenure_last,n_roster_seasons,n_before,avg_resid_before,n_during_as_starter,avg_resid_during,n_after,avg_resid_after,after_minus_before
Steve Sarkisian,00-0026143,Matt Ryan,2017,2018,2,9,0.2016916571714277,2,0.2442825431736722,4,-0.1883759918923581,-0.3900676490637859
Adam Gase,00-0026158,Joe Flacco,2020,2020,1,12,-0.0278620405646532,0,,1,-0.43125,-0.4033879594353467
Alex Van Pelt,00-0026158,Joe Flacco,2023,2023,1,12,-0.0278620405646532,0,,1,-0.43125,-0.4033879594353467
Dowell Loggains,00-0026158,Joe Flacco,2020,2020,1,12,-0.0278620405646532,0,,1,-0.43125,-0.4033879594353467
Gary Kubiak,00-0026158,Joe Flacco,2014,2014,1,6,0.0785834663996567,1,0.2432459677419355,6,-0.2467235421526191,-0.3253070085522759
Greg Roman,00-0026158,Joe Flacco,2018,2018,1,10,-0.0172884506278264,1,0.0079245071684588,2,-0.300317243833017,-0.2830287932051906
Jim Caldwell,00-0026158,Joe Flacco,2012,2013,2,4,0.1965803455962564,2,-0.1574102919935427,7,-0.1767278978819685,-0.373308243478225
Kevin Stefanski,00-0026158,Joe Flacco,2023,2023,1,12,-0.0278620405646532,0,,1,-0.43125,-0.4033879594353467
Marc Trestman,00-0026158,Joe Flacco,2015,2016,2,7,0.102106680877125,2,-0.3716359257985128,4,-0.1842673503296724,-0.2863740312067975
Marty Mornhinweg,00-0026158,Joe Flacco,2017,2018,2,9,-0.0031694539396833,2,-0.0682174568263278,2,-0.300317243833017,-0.2971477898933337
Mike LaFleur,00-0026158,Joe Flacco,2021,2022,2,12,-0.0278620405646532,0,,1,-0.43125,-0.4033879594353467
Rich Scangarello,00-0026158,Joe Flacco,2019,2019,1,11,-0.0149963635554368,1,-0.1693844876660341,1,-0.43125,-0.4162536364445631
Robert Saleh,00-0026158,Joe Flacco,2021,2022,2,12,-0.0278620405646532,0,,1,-0.43125,-0.4033879594353467
Vic Fangio,00-0026158,Joe Flacco,2019,2019,1,11,-0.0149963635554368,1,-0.1693844876660341,1,-0.43125,-0.4162536364445631
Bob Bratkowski,00-0026197,Chad Henne,2012,2012,1,2,-0.0580912026273217,0,,1,-0.4886740986717267,-0.430582896044405
Brian Daboll,00-0026197,Chad Henne,2011,2011,1,2,-0.0580912026273217,0,,1,-0.4886740986717267,-0.430582896044405
Mike Mularkey,00-0026197,Chad Henne,2012,2012,1,2,-0.0580912026273217,0,,1,-0.4886740986717267,-0.430582896044405
Todd Bowles,00-0026197,Chad Henne,2011,2011,1,2,-0.0580912026273217,0,,1,-0.4886740986717267,-0.430582896044405
Darrell Bevell,00-0026498,Matthew Stafford,2019,2020,2,9,-0.0517833394878067,2,-0.1432299902487876,5,0.0277545497671209,0.0795378892549276
Jim Bob Cooter,00-0026498,Matthew Stafford,2015,2018,4,5,-0.0393329501428113,4,-0.067346326169051,7,-0.02109817595171,0.0182347741911012
Jim Caldwell,00-0026498,Matthew Stafford,2014,2017,4,4,-0.0519976630105824,4,-0.0127999956317041,8,-0.0443183315603856,0.0076793314501968
Joe Lombardi,00-0026498,Matthew Stafford,2014,2014,1,4,-0.0519976630105824,1,0.0113259013282732,11,-0.0379156851216522,0.0140819778889302
"Joe Lombardi (fired Oct 26, 2015)",00-0026498,Matthew Stafford,2015,2015,1,5,-0.0393329501428113,1,-0.1317540322580644,10,-0.028531850408011,0.0108010997348002
Kevin O'Connell,00-0026498,Matthew Stafford,2021,2021,1,11,-0.0684100032625305,1,0.1996425953079179,4,-0.0152174616180783,0.0531925416444522
Liam Coen,00-0026498,Matthew Stafford,2022,2022,1,12,-0.0460722867149931,1,-0.3858137829912024,3,0.1083146455062963,0.1543869322212895
Matt Patricia,00-0026498,Matthew Stafford,2018,2019,2,8,-0.0323988293211433,2,-0.2088424568263277,6,0.0105230435282617,0.042921872849405
Dowell Loggains,00-0026625,Brian Hoyer,2016,2016,1,2,-0.2633390654648956,0,,1,-0.0328716690042075,0.2304673964606881
John Fox,00-0026625,Brian Hoyer,2016,2016,1,2,-0.2633390654648956,0,,1,-0.0328716690042075,0.2304673964606881
Tony Sparano,00-0026898,Mark Sanchez,2012,2012,1,3,-0.0515929493432402,1,-0.4026497695852534,1,0.0738259013282732,0.1254188506715134
Brian Schottenheimer,00-0027854,Sam Bradford,2012,2013,2,2,-0.2789654468315401,1,-0.1280979543666405,2,-0.2008390654648955,0.0781263813666445
Chip Kelly {{small|(fired on December 29)}},00-0027854,Sam Bradford,2015,2015,1,3,-0.2286762826765735,1,-0.1761740986717267,1,-0.2255040322580644,0.0031722504185091
Jeff Fisher,00-0027854,Sam Bradford,2012,2012,1,2,-0.2789654468315401,1,-0.1280979543666405,2,-0.2008390654648955,0.0781263813666445
