coach,team,start,end,n_seasons,avg_off_pctile,n_distinct_qbs,qb_list
Brad Childress,PHI,2002,2005,4,0.5859375,1,Donovan McNabb (4yr)
Brad Idzik,CAR,2024,2025,2,0.265625,2,Andy Dalton (1yr); Bryce Young (1yr)
Brandon Staley,LAC,2021,2022,2,0.71875,1,Justin Herbert (2yr)
Brandon Staley; fired on December 15,LAC,2023,2023,1,0.28125,1,Justin Herbert (1yr)
Brian Billick,BAL,2001,2007,7,0.30011520737327185,4,Jeff Blake (1yr); Elvis Grbac (1yr); Steve McNair (1yr); Kyle Boller (4yr)
Brian Callahan,CIN,2019,2023,5,0.5,2,Andy Dalton (1yr); Joe Burrow (4yr)
Brian Callahan,TEN,2024,2024,1,0.09375,1,Mason Rudolph (1yr)
"Brian Callahan (fired October 13, 1–5 record)",TEN,2025,2025,1,0.09375,1,Cam Ward (1yr)
Brian Daboll,BUF,2018,2021,4,0.5703125,1,Josh Allen (4yr)
Brian Daboll,CLE,2009,2010,2,0.203125,2,Brady Quinn (1yr); Colt McCoy (1yr)
Brian Daboll,KC,2012,2012,1,0.0625,1,Matt Cassel (1yr)
Brian Daboll,MIA,2011,2011,1,0.46875,1,Matt Moore (1yr)
Brian Daboll,NYG,2022,2024,3,0.3229166666666667,1,Daniel Jones (3yr)
"Brian Daboll (fired November 10, 2–8 record)",NYG,2025,2025,1,0.71875,1,Jaxson Dart (1yr)
Brian Flores,MIA,2019,2021,3,0.34375,2,Ryan Fitzpatrick (1yr); Tua Tagovailoa (2yr)
Brian Johnson,PHI,2023,2023,1,0.8125,1,Jalen Hurts (1yr)
Brian Schottenheimer,DAL,2023,2025,3,0.6666666666666666,1,Dak Prescott (3yr)
Brian Schottenheimer,LA,2012,2014,3,0.2604166666666667,3,Shaun Hill (1yr); Kellen Clemens (1yr); Sam Bradford (1yr)
Brian Schottenheimer,NYJ,2006,2011,6,0.4427083333333333,3,Brett Favre (1yr); Chad Pennington (2yr); Mark Sanchez (3yr)
Brian Schottenheimer,SEA,2018,2020,3,0.7604166666666666,1,Russell Wilson (3yr)
Bruce Arians,ARI,2013,2017,5,0.46875,2,Carson Palmer (4yr); Drew Stanton (1yr)
Bruce Arians,CLE,2001,2003,3,0.2721774193548387,1,Tim Couch (3yr)
Bruce Arians,IND,2012,2012,1,0.625,1,Andrew Luck (1yr)
Bruce Arians,PIT,2007,2011,5,0.7,1,Ben Roethlisberger (5yr)
Bruce Arians,TB,2019,2021,3,0.78125,2,Tom Brady (2yr); Jameis Winston (1yr)
Bruce Coslet,DAL,2002,2002,1,0.09375,1,Chad Hutchinson (1yr)
Butch Davis,CLE,2001,2001,1,0.1290322580645161,1,Tim Couch (1yr)
Byron Leftwich,TB,2019,2022,4,0.6875,2,Tom Brady (3yr); Jameis Winston (1yr)
Cam Cameron,BAL,2008,2012,5,0.6375,1,Joe Flacco (5yr)
Cam Cameron,LAC,2002,2006,5,0.7875,2,Drew Brees (4yr); Philip Rivers (1yr)
Cam Cameron,MIA,2007,2007,1,0.3125,1,Cleo Lemon (1yr)
Carl Smith,JAX,2005,2006,2,0.734375,2,David Garrard (1yr); Byron Leftwich (1yr)
Chad O'Shea,MIA,2019,2019,1,0.21875,1,Ryan Fitzpatrick (1yr)
Chan Gailey,BUF,2010,2012,3,0.375,1,Ryan Fitzpatrick (3yr)
Chan Gailey,KC,2008,2008,1,0.28125,1,Tyler Thigpen (1yr)
Chan Gailey,MIA,2001,2001,1,0.6451612903225806,1,Jay Fiedler (1yr)
Chan Gailey,MIA,2020,2020,1,0.46875,1,Tua Tagovailoa (1yr)
Chan Gailey,NYJ,2015,2016,2,0.4375,1,Ryan Fitzpatrick (2yr)
Charlie Weis,KC,2010,2010,1,0.6875,1,Matt Cassel (1yr)
Charlie Weis,NE,2001,2004,4,0.6224798387096774,1,Tom Brady (4yr)
Chip Kelly,PHI,2013,2014,2,0.75,2,Mark Sanchez (1yr); Nick Foles (1yr)
Chip Kelly,SF,2016,2016,1,0.0625,1,Colin Kaepernick (1yr)
Chip Kelly {{small|(fired on December 29)}},PHI,2015,2015,1,0.34375,1,Sam Bradford (1yr)
Chris Beatty,CHI,2024,2024,1,0.21875,1,Caleb Williams (1yr)
Chris Foerster,MIA,2004,2004,1,0.0625,1,A.J. Feeley (1yr)
Chris Palmer,HOU,2002,2005,4,0.2890625,1,David Carr (4yr)
Chris Palmer,TEN,2011,2011,1,0.4375,1,Matt Hasselbeck (1yr)
"Chris Palmer (fired Nov 26, 2012)",TEN,2012,2012,1,0.15625,1,Jake Locker (1yr)
Chris Tabor,CAR,2023,2023,1,0.125,1,Bryce Young (1yr)
Chuck Pagano,IND,2012,2017,6,0.5104166666666666,3,Matt Hasselbeck (1yr); Andrew Luck (4yr); Jacoby Brissett (1yr)
Clarence Shelmon,LAC,2007,2011,5,0.875,1,Philip Rivers (5yr)
