coach,n_qbs,avg_raw_delta,avg_resid_delta,t_resid,p_resid
Matt LaFleur,3,0.059461805555555546,0.038306686540358965,0.31380408858466674,0.783375833717172
Todd Haley,4,-0.021377840909090923,0.03640002944533234,0.7765285169823435,0.4940399775034303
Bill O'Brien,5,0.024510528673835096,0.03517807401677868,0.18816107316671715,0.8599105130465464
Frank Reich,4,0.04947916666666666,0.03454624590215021,0.29335520539946447,0.7883734220154192
Joe Lombardi,3,0.005729166666666674,0.027320024332431903,0.18909240312417475,0.8674709068645521
Bill Musgrave,3,-0.01967592592592593,0.02645464249786302,0.35981468104403813,0.7534281676854229
Tom Cable,2,0.0390625,0.023439433708750318,0.14340172842460802,0.9093257952713276
Joe Brady,2,0.11249999999999999,0.01102262128621595,0.055343808538036374,0.9648029433594542
Klint Kubiak,3,0.05138888888888887,0.009636021549249288,0.051446316614937836,0.9636460074430311
Jim Caldwell,3,0.0014435609193673704,0.0072701887167718705,0.11171937544139468,0.9212478206459308
John Morton,2,0.078125,0.005020474216780216,0.0572836001161551,0.9635719378732562
Mike Tice,3,0.027262544802867366,0.00275490766116566,0.02832337610128521,0.9799763640985024
Bruce Arians,5,-0.005919107243916255,0.002349901273404638,0.05629356727289987,0.9578076751881788
Marty Mornhinweg,6,-0.039138104838709685,0.0011901505005215602,0.026647085676735797,0.9797720485849505
Matt Canada,2,-0.03515625,-0.0021901576990967786,-0.004535162482010396,0.9971128456869806
Tony Sparano,4,-0.043359375000000006,-0.0036501770469178907,-0.01952691449508935,0.9856468798867899
Jason Garrett,5,-0.03501008064516129,-0.003677742447123078,-0.04186050454753524,0.96861607760724
Matt Nagy,4,0.014062500000000006,-0.006422724009151573,-0.047289624604497864,0.9652544154111361
Bob Bratkowski,4,-0.01279681899641577,-0.01497496246475273,-0.14919387373727164,0.8908656991588084
Liam Coen,3,0.030555555555555558,-0.01581780980340901,-0.08359653899131442,0.9409913242771313
Doug Marrone,5,0.027864583333333325,-0.01676492770633426,-0.21398437956002594,0.8410245049762578
Randy Fichtner,2,-0.02395833333333336,-0.02302497417374119,-0.22098058822336095,0.8615444743750195
Norv Turner,8,-0.03352428401571545,-0.02344312011362134,-0.4669082788145104,0.6547494979173147
