coach,team,start,end,n_seasons
Shane Waldron (fired on November 10),CHI,2024,2024,1
Sherman Lewis,DET,2003,2004,2
Sherman Lewis,MIN,2001,2001,1
Sherman Smith,WAS,2008,2009,2
Steve Fairchild,BUF,2006,2007,2
Steve Loney,MIN,2005,2005,1
Steve Mariucci,DET,2003,2005,3
Steve Mariucci,SF,2001,2002,2
Steve Sarkisian,ATL,2017,2018,2
Steve Spagnuolo,LA,2009,2011,3
Steve Spagnuolo,NYG,2017,2017,1
Steve Spurrier,WAS,2002,2002,1
Steve Wilks,ARI,2018,2018,1
Steve Wilks,CAR,2022,2022,1
Tanner Engstrand,NYJ,2025,2025,1
Ted Tollner,DET,2005,2005,1
Terry Robiskie,CLE,2004,2004,1
Terry Robiskie,TEN,2016,2017,2
Terry Shea,CHI,2004,2004,1
Thomas Brown,CAR,2023,2023,1
Thomas Brown,CHI,2024,2024,1
Tim Kelly,HOU,2019,2021,3
Tim Kelly,NYG,2025,2025,1
Tim Kelly,TEN,2023,2023,1
Todd Bowles,MIA,2011,2011,1
Todd Bowles,NYJ,2015,2018,4
Todd Bowles,TB,2022,2025,4
Todd Downing,LV,2017,2017,1
Todd Downing,TEN,2021,2022,2
Todd Haley,ARI,2007,2008,2
Todd Haley,CLE,2018,2018,1
Todd Haley,KC,2009,2010,2
Todd Haley,PIT,2012,2017,6
"Todd Haley (fired Dec 12, 2011)",KC,2011,2011,1
Todd Monken,BAL,2023,2025,3
Todd Monken,CLE,2019,2019,1
Todd Monken,TB,2016,2018,3
Tom Cable,LV,2009,2010,2
Tom Clements,BUF,2005,2005,1
Tom Clements,GB,2012,2014,3
Tom Coughlin,JAX,2001,2002,2
Tom Coughlin,NYG,2006,2015,10
Tom Moore,IND,2001,2002,2
Tom Moore,IND,2006,2009,4
Tom Rossley,GB,2001,2005,5
Tommy Rees,CLE,2025,2025,1
Tony Dungy,IND,2002,2002,1
Tony Dungy,IND,2006,2008,3
Tony Dungy,TB,2001,2001,1
Tony Sparano,LV,2014,2014,1
Tony Sparano,MIA,2008,2010,3
Tony Sparano,NYJ,2012,2012,1
Troy Calhoun,HOU,2006,2006,1
Turk Schonert,BUF,2008,2008,1
Urban Meyer (fired mid season),JAX,2021,2021,1
Vance Joseph,DEN,2017,2018,2
Vic Fangio,DEN,2019,2021,3
Wade Phillips,ATL,2003,2003,1
Wes Phillips,MIN,2022,2025,4
Zac Robinson,ATL,2024,2025,2
Zac Taylor,CIN,2019,2025,7
Zac Taylor,MIA,2015,2015,1
