coach,qb_id,qb_name,n_with,raw_with,resid_with,n_elsewhere,raw_elsewhere,resid_elsewhere,raw_delta,resid_delta
Brad Idzik,00-0039150,Bryce Young,1,0.21875,-0.2843479543666405,1,0.125,-0.1948464427750773,0.09375,-0.08950151159156322
Brandon Staley,00-0036355,Justin Herbert,2,0.71875,0.23878379737267824,4,0.453125,-0.024954199086854072,0.265625,0.26373799645953233
Brandon Staley; fired on December 15,00-0036355,Justin Herbert,1,0.28125,-0.2463997695852534,5,0.59375,0.12483011359663872,-0.3125,-0.3712298831818921
Brian Billick,00-0001335,Jeff Blake,1,0.3125,-0.2420754928315411,2,0.3704637096774194,-0.1525393686577015,-0.05796370967741937,-0.08953612417383958
Brian Billick,00-0006300,Elvis Grbac,1,0.2258064516129032,-0.3383152173913044,1,0.8064516129032258,0.2210514303104077,-0.5806451612903225,-0.5593666477017121
Brian Billick,00-0011024,Steve McNair,1,0.625,0.1431155123339658,6,0.6058467741935484,0.053740958163636256,0.019153225806451624,0.08937455417032955
Brian Callahan,00-0027973,Andy Dalton,1,0.125,-0.4391216690042075,11,0.48295454545454547,-0.020587373448299383,-0.35795454545454547,-0.41853429555590815
Brian Callahan,00-0034771,Mason Rudolph,1,0.09375,-0.4755040322580645,1,0.0625,-0.3943344508880029,0.03125,-0.08116958137006158
Brian Callahan,00-0036442,Joe Burrow,4,0.59375,0.14189284559625645,2,0.625,0.09258970800645729,-0.03125,0.049303137589799165
Brian Daboll,00-0023662,Matt Cassel,1,0.0625,-0.522900182592818,5,0.44375,-0.09950997573238893,-0.38125,-0.42339020686042905
Brian Daboll,00-0027688,Colt McCoy,1,0.28125,-0.0385964427750773,1,0.21875,-0.2380844508880029,0.0625,0.1994880081129256
Brian Daboll,00-0034857,Josh Allen,4,0.5703125,0.11845534559625648,4,0.953125,0.39825630029050796,-0.3828125,-0.2798009546942515
Brian Daboll,00-0035710,Daniel Jones,3,0.3229166666666667,-0.20790678452411296,4,0.296875,-0.1653832200719463,0.026041666666666685,-0.04252356445216665
Brian Flores,00-0023682,Ryan Fitzpatrick,1,0.21875,-0.3354482922201138,9,0.3506944444444444,-0.19009062652734648,-0.13194444444444442,-0.1453576656927673
Brian Flores,00-0036212,Tua Tagovailoa,2,0.40625,0.017909553168459852,4,0.578125,0.05423292301525513,-0.171875,-0.03632336984679528
Brian Johnson,00-0036389,Jalen Hurts,1,0.8125,0.2848502304147465,4,0.7421875,0.23599925268956778,0.0703125,0.04885097772517871
Brian Schottenheimer,00-0005106,Brett Favre,1,0.625,0.0223214285714286,10,0.6484879032258064,0.0625124046441646,-0.023487903225806406,-0.040190976072736
Brian Schottenheimer,00-0019559,Chad Pennington,2,0.453125,-0.1242021074254412,4,0.75,0.2150585304321349,-0.296875,-0.3392606378575761
Brian Schottenheimer,00-0020679,Shaun Hill,1,0.125,-0.456607404692082,2,0.3125,-0.25418785063113597,-0.1875,-0.20241955406094603
Brian Schottenheimer,00-0026898,Mark Sanchez,3,0.375,-0.05159294934324027,2,0.359375,-0.1644119341284901,0.015625,0.11281898478524982
Brian Schottenheimer,00-0027854,Sam Bradford,1,0.375,-0.1280979543666405,4,0.2265625,-0.23990225614821784,0.1484375,0.11180430178157733
Brian Schottenheimer,00-0029263,Russell Wilson,3,0.7604166666666666,0.18749137204830327,10,0.628125,0.1271573992387168,0.13229166666666659,0.06033397280958647
Brian Schottenheimer,00-0033077,Dak Prescott,3,0.6666666666666666,0.11037290919395336,6,0.75,0.2672322085758724,-0.08333333333333337,-0.156859299381919
Bruce Arians,00-0019596,Tom Brady,2,0.9375,0.3098958333333333,19,0.8103247028862479,0.24205656090785196,0.12717529711375208,0.06783927242548135
