coach,qb_id,qb_name,n_seasons_with,pctile_with,n_seasons_elsewhere,pctile_elsewhere,delta
Grant Udinski,00-0034869,Sam Darnold,1,0.59375,5,0.1875,0.40625
Grant Udinski,00-0036971,Trevor Lawrence,1,0.59375,4,0.453125,0.140625
Greg Knapp,00-0005755,Jeff Garcia,3,0.8746639784946236,4,0.514616935483871,0.36004704301075263
Greg Knapp,00-0007091,Matt Hasselbeck,1,0.25,10,0.5709677419354839,-0.32096774193548394
Greg Knapp,00-0020245,Michael Vick,3,0.4791666666666667,4,0.6640625,-0.18489583333333331
Greg Knapp,00-0021206,Josh McCown,1,0.25,4,0.2109375,0.0390625
Greg Knapp,00-0021429,Carson Palmer,1,0.25,11,0.5710227272727273,-0.3210227272727273
Greg Knapp,00-0025388,JaMarcus Russell,1,0.15625,1,0.0625,0.09375
Greg Olson,00-0019599,Marc Bulger,2,0.4375,6,0.375,0.0625
Greg Olson,00-0026993,Josh Freeman,3,0.3645833333333333,1,0.5625,-0.19791666666666669
Greg Olson,00-0030565,Geno Smith,1,0.03125,5,0.41875,-0.3875
Greg Olson,00-0031280,Derek Carr,5,0.4,6,0.4791666666666667,-0.07916666666666666
Greg Olson,00-0031407,Blake Bortles,2,0.25,3,0.2916666666666667,-0.041666666666666685
Greg Roman,00-0023436,Alex Smith,2,0.703125,12,0.40625,0.296875
Greg Roman,00-0026158,Joe Flacco,1,0.5625,12,0.4609375,0.1015625
Greg Roman,00-0027974,Colin Kaepernick,2,0.53125,1,0.0625,0.46875
Greg Roman,00-0028118,Tyrod Taylor,1,0.6875,3,0.40625,0.28125
Greg Roman,00-0034796,Lamar Jackson,4,0.703125,3,0.8020833333333334,-0.09895833333333337
Greg Roman,00-0036355,Justin Herbert,2,0.484375,4,0.5703125,-0.0859375
Greg Schiano,00-0026993,Josh Freeman,1,0.5625,3,0.3645833333333333,0.19791666666666669
Greg Schiano,00-0030520,Mike Glennon,1,0.1875,1,0.1875,0.0
Gregg Williams,00-0001361,Drew Bledsoe,1,0.71875,4,0.29889112903225806,0.41985887096774194
Gregg Williams,00-0008612,Rob Johnson,1,0.3225806451612903,1,0.3548387096774194,-0.03225806451612906
Gus Bradley,00-0026197,Chad Henne,1,0.03125,2,0.421875,-0.390625
Gus Bradley,00-0031407,Blake Bortles,3,0.1875,2,0.40625,-0.21875
Hal Hunter,00-0022942,Philip Rivers,1,0.3125,14,0.8013392857142857,-0.4888392857142857
Harold Goodwin,00-0021429,Carson Palmer,4,0.4765625,8,0.578125,-0.1015625
Herm Edwards,00-0006355,Trent Green,1,0.65625,5,0.942741935483871,-0.286491935483871
Herman Edwards,00-0016193,Vinny Testaverde,1,0.5483870967741935,3,0.32627688172043007,0.22211021505376344
Herman Edwards,00-0019559,Chad Pennington,3,0.7291666666666666,3,0.5729166666666666,0.15625
Hue Jackson,00-0021141,Joey Harrington,1,0.0625,5,0.19375,-0.13125
Hue Jackson,00-0021429,Carson Palmer,1,0.59375,11,0.5397727272727273,0.05397727272727271
Hue Jackson,00-0023460,Jason Campbell,1,0.53125,4,0.359375,0.171875
Hue Jackson,00-0027973,Andy Dalton,2,0.65625,10,0.4125,0.24375000000000002
Hue Jackson,00-0034855,Baker Mayfield,1,0.40625,6,0.59375,-0.1875
Jack Del Rio,00-0021231,David Garrard,4,0.71875,1,0.53125,0.1875
Jack Del Rio,00-0027948,Blaine Gabbert,1,0.0625,2,0.09375,-0.03125
Jack Del Rio,00-0031280,Derek Carr,3,0.5208333333333334,8,0.4140625,0.10677083333333337
Jason Garrett,00-0009311,Jon Kitna,1,0.59375,6,0.39432123655913975,0.19942876344086025
Jason Garrett,00-0021678,Tony Romo,5,0.79375,3,0.7604166666666666,0.033333333333333326
Jason Garrett,00-0023662,Matt Cassel,1,0.21875,5,0.4125,-0.19374999999999998
Jason Garrett,00-0033077,Dak Prescott,4,0.7421875,5,0.70625,0.035937499999999956
Jason Garrett,00-0035710,Daniel Jones,1,0.09375,6,0.34375,-0.25
Jason Garrett (fired after week 11),00-0035710,Daniel Jones,1,0.03125,6,0.3541666666666667,-0.3229166666666667
Jason Michael,00-0032268,Marcus Mariota,1,0.0625,4,0.421875,-0.359375
Jay Gruden,00-0023436,Alex Smith,1,0.21875,13,0.46634615384615385,-0.24759615384615385
Jay Gruden,00-0027973,Andy Dalton,3,0.5416666666666666,9,0.4236111111111111,0.11805555555555552
Jay Gruden,00-0028986,Case Keenum,1,0.09375,3,0.375,-0.28125
Jay Gruden,00-0029604,Kirk Cousins,3,0.65625,7,0.5357142857142857,0.1205357142857143
Jay Gruden,00-0029665,Robert Griffin,1,0.28125,2,0.640625,-0.359375
Jay Gruden,00-0030520,Mike Glennon,1,0.1875,1,0.1875,0.0
Jedd Fisch,00-0026197,Chad Henne,1,0.03125,2,0.421875,-0.390625
Jedd Fisch,00-0031407,Blake Bortles,1,0.0625,4,0.328125,-0.265625
Jedd Fisch,00-0033106,Jared Goff,1,0.4375,8,0.7109375,-0.2734375
Jeff Davidson,00-0004161,Jake Delhomme,2,0.5625,4,0.5234375,0.0390625
Jeff Davidson,00-0016193,Vinny Testaverde,1,0.28125,3,0.41532258064516125,-0.13407258064516125
Jeff Fisher,00-0027854,Sam Bradford,1,0.375,4,0.2265625,0.1484375
Jeff Fisher (Fired Week 14),00-0028986,Case Keenum,1,0.03125,3,0.3958333333333333,-0.3645833333333333
Jeff Jagodzinski,00-0005106,Brett Favre,1,0.375,10,0.6734879032258064,-0.29848790322580643
Jeff Nixon,00-0034869,Sam Darnold,1,0.09375,5,0.2875,-0.19374999999999998
Jeff Saturday,00-0026143,Matt Ryan,1,0.0625,14,0.6629464285714286,-0.6004464285714286
Jeff Tedford,00-0021206,Josh McCown,1,0.15625,4,0.234375,-0.078125
Jeff Ulbrich,00-0023459,Aaron Rodgers,1,0.5,15,0.81875,-0.31875
Jeremy Bates,00-0007091,Matt Hasselbeck,1,0.09375,10,0.5865927419354839,-0.49284274193548394
Jeremy Bates,00-0034869,Sam Darnold,1,0.125,5,0.28125,-0.15625
Jerod Mayo,00-0039851,Drake Maye,1,0.1875,1,1.0,-0.8125
Jerry Rosburg,00-0029263,Russell Wilson,1,0.1875,12,0.6979166666666666,-0.5104166666666666
Jerry Sullivan,00-0001335,Jeff Blake,1,0.03125,2,0.5110887096774194,-0.4798387096774194
Jim Bob Cooter,00-0026158,Joe Flacco,1,0.28125,12,0.484375,-0.203125
Jim Bob Cooter,00-0026498,Matthew Stafford,4,0.4921875,12,0.5130208333333334,-0.02083333333333337
Jim Bob Cooter,00-0035289,Gardner Minshew,1,0.53125,2,0.171875,0.359375
Jim Bob Cooter,00-0035710,Daniel Jones,1,0.8125,6,0.22395833333333334,0.5885416666666666
Jim Caldwell,00-0010346,Peyton Manning,2,0.9375,13,0.8744571960297767,0.06304280397022333
Jim Caldwell,00-0026158,Joe Flacco,2,0.375,11,0.48579545454545453,-0.11079545454545453
Jim Caldwell,00-0026498,Matthew Stafford,4,0.546875,12,0.4947916666666667,0.052083333333333315
