coach,qb_id,qb_name,tenure_first,tenure_last,n_roster_seasons,n_before,avg_resid_before,n_during_as_starter,avg_resid_during,n_after,avg_resid_after,after_minus_before
Pete Carmichael Jr.,00-0020531,Drew Brees,2010,2010,1,8,0.27860266966474095,1,0.2306405791788855,10,0.2900675863576125,0.01146491669287153
"Pete Carmichael, Jr.",00-0020531,Drew Brees,2009,2014,5,7,0.27399186090316213,5,0.33639943256298654,6,0.25492617195949735,-0.019065688943664783
Joe Pendry,00-0020608,David Carr,2005,2005,1,3,-0.1349262826765736,1,-0.2463997695852534,1,-0.1386464853153587,-0.003720202638785086
Jim Schwartz,00-0020679,Shaun Hill,2010,2013,4,1,-0.3192540322580645,1,-0.1891216690042075,1,-0.456607404692082,-0.13735337243401752
Jimmy Raye,00-0020679,Shaun Hill,2009,2009,1,1,-0.3192540322580645,0,,2,-0.32286453684814476,-0.003610504590080277
Mike Singletary,00-0020679,Shaun Hill,2009,2009,1,1,-0.3192540322580645,0,,2,-0.32286453684814476,-0.003610504590080277
Scott Linehan,00-0020679,Shaun Hill,2010,2013,4,1,-0.3192540322580645,1,-0.1891216690042075,1,-0.456607404692082,-0.13735337243401752
Dick Jauron,00-0021141,Joey Harrington,2005,2005,1,3,-0.24950961600990693,1,-0.2776497695852534,2,-0.40741029199354273,-0.1579006759836358
Mike Mularkey,00-0021141,Joey Harrington,2006,2006,1,4,-0.2565446544037435,1,-0.3573964853153587,1,-0.4574240986717267,-0.20087944426798315
Nick Saban,00-0021141,Joey Harrington,2006,2006,1,4,-0.2565446544037435,1,-0.3573964853153587,1,-0.4574240986717267,-0.20087944426798315
Sherman Lewis,00-0021141,Joey Harrington,2003,2004,2,1,-0.1635964427750773,2,-0.2924662026273217,3,-0.36415678452411293,-0.20056034174903564
Steve Mariucci,00-0021141,Joey Harrington,2003,2005,3,1,-0.1635964427750773,3,-0.28752739161329893,2,-0.40741029199354273,-0.24381384921846544
Ted Tollner,00-0021141,Joey Harrington,2005,2005,1,3,-0.24950961600990693,1,-0.2776497695852534,2,-0.40741029199354273,-0.1579006759836358
Aaron Kromer,00-0021206,Josh McCown,2013,2013,1,2,-0.27713602651918356,0,,3,-0.38567631964809374,-0.10854029312891017
Greg Knapp,00-0021206,Josh McCown,2007,2007,1,1,-0.2843479543666405,1,-0.2699240986717267,3,-0.38567631964809374,-0.10132836528145323
Hue Jackson,00-0021206,Josh McCown,2016,2016,1,4,-0.32573581018041287,0,,1,-0.408357771260997,-0.08262196108058412
Jeff Davidson,00-0021206,Josh McCown,2008,2009,2,2,-0.27713602651918356,0,,3,-0.38567631964809374,-0.10854029312891017
Jeff Tedford,00-0021206,Josh McCown,2014,2014,1,2,-0.27713602651918356,1,-0.425357404692082,2,-0.3658357771260997,-0.08869975060691615
John DeFilippo,00-0021206,Josh McCown,2015,2015,1,3,-0.3265431525768164,1,-0.3233137829912024,1,-0.408357771260997,-0.0818146186841806
John Fox,00-0021206,Josh McCown,2008,2009,2,2,-0.27713602651918356,0,,3,-0.38567631964809374,-0.10854029312891017
Keith Rowen,00-0021206,Josh McCown,2005,2005,1,1,-0.2843479543666405,0,,4,-0.356738264404002,-0.07239031003736152
Lane Kiffin,00-0021206,Josh McCown,2007,2007,1,1,-0.2843479543666405,1,-0.2699240986717267,3,-0.38567631964809374,-0.10132836528145323
Lovie Smith,00-0021206,Josh McCown,2011,2014,2,2,-0.27713602651918356,1,-0.425357404692082,2,-0.3658357771260997,-0.08869975060691615
Marc Trestman,00-0021206,Josh McCown,2013,2013,1,2,-0.27713602651918356,0,,3,-0.38567631964809374,-0.10854029312891017
Mike Martz,00-0021206,Josh McCown,2006,2011,2,1,-0.2843479543666405,0,,3,-0.38567631964809374,-0.10132836528145323
Rod Marinelli,00-0021206,Josh McCown,2006,2006,1,1,-0.2843479543666405,0,,4,-0.356738264404002,-0.07239031003736152
Al Saunders,00-0021429,Carson Palmer,2011,2011,1,6,0.0990195208323103,1,0.0296283309957924,5,-0.11286087871121073,-0.21188039954352103
Dennis Allen,00-0021429,Carson Palmer,2012,2012,1,7,0.08910649371280775,1,-0.2693594208211144,4,-0.07373624318373483,-0.16284273689654258
Greg Knapp,00-0021429,Carson Palmer,2012,2012,1,7,0.08910649371280775,1,-0.2693594208211144,4,-0.07373624318373483,-0.16284273689654258
Hue Jackson,00-0021429,Carson Palmer,2011,2011,1,6,0.0990195208323103,1,0.0296283309957924,5,-0.11286087871121073,-0.21188039954352103
Bill Callahan,00-0021678,Tony Romo,2012,2013,2,5,0.2298307890330778,2,0.18178254317367215,1,0.4556155123339658,0.225784723300888
Gary Kubiak,00-0022121,Rex Grossman,2009,2009,1,2,-0.20814812745030606,0,,1,-0.1891216690042075,0.01902645844609857
Jim Fassel,00-0022164,Kyle Boller,2005,2006,2,2,-0.12271544683154015,1,-0.3155979543666405,1,-0.3261464853153587,-0.20343103848381858
Ben McAdoo,00-0022803,Eli Manning,2014,2017,4,9,0.08924577072186814,4,-0.14159529204521493,1,-0.0541982922201138,-0.14344406294198192
John Hufnagel,00-0022803,Eli Manning,2006,2006,1,1,0.2931655491119971,1,0.0906520456333594,12,-0.0167654265541264,-0.3099309756661235
Kevin Gilbride,00-0022803,Eli Manning,2007,2013,7,2,0.19190879737267824,7,0.05991347739306525,5,-0.12411589208019472,-0.316024689452873
Mike Sullivan,00-0022803,Eli Manning,2016,2017,2,11,0.09243199599993072,2,-0.38996059384164217,1,-0.0541982922201138,-0.14663028822004454
Steve Spagnuolo,00-0022803,Eli Manning,2017,2017,1,12,0.04667871260892966,1,-0.3233137829912024,1,-0.0541982922201138,-0.10087700482904347
Tom Coughlin,00-0022803,Eli Manning,2006,2015,10,1,0.2931655491119971,10,0.07235864068872408,3,-0.2780398266344661,-0.5712053757464632
Bruce Arians,00-0022924,Ben Roethlisberger,2007,2011,5,3,0.32340705065675973,5,0.1505750863153557,9,0.12286231981612589,-0.20054473084063384
Randy Fichtner,00-0022924,Ben Roethlisberger,2018,2020,3,14,0.21505245182434832,2,0.05415085388994305,1,-0.2901785714285714,-0.5052310232529197
Todd Haley,00-0022924,Ben Roethlisberger,2012,2017,6,8,0.21538707294338222,6,0.21460629033230302,3,-0.060625621216228436,-0.27601269415961066
Anthony Lynn,00-0022942,Philip Rivers,2017,2019,3,11,0.21461172747228713,3,0.26929338450922885,1,-0.05625,-0.27086172747228715
Clarence Shelmon,00-0022942,Philip Rivers,2007,2011,5,1,0.4656520456333595,5,0.32557508631535564,9,0.11320351983474526,-0.35244852579861424
Hal Hunter,00-0022942,Philip Rivers,2012,2012,1,6,0.3489212462016897,1,-0.2516216690042075,8,0.15880666843961436,-0.19011457776207533
Ken Whisenhunt,00-0022942,Philip Rivers,2013,2018,4,7,0.2631294011722758,4,0.2944427748188718,2,-0.01355388563049855,-0.2766832868027743
Mike McCoy,00-0022942,Philip Rivers,2013,2016,4,7,0.2631294011722758,4,0.12970579849730707,4,0.18790753838192162,-0.07522186279035417
Norv Turner,00-0022942,Philip Rivers,2007,2012,6,1,0.4656520456333595,6,0.22937562709542847,8,0.15880666843961436,-0.30684537719374516
Andy Reid,00-0023436,Alex Smith,2013,2017,5,7,-0.16507194955252688,5,0.17219030499700408,2,-0.4127107771260997,-0.24763882757357283
Brad Childress,00-0023436,Alex Smith,2016,2016,1,10,-0.0699810229524552,1,0.0806155123339658,3,-0.16692631964809382,-0.09694529669563862
Doug Pederson,00-0023436,Alex Smith,2013,2015,3,7,-0.16507194955252688,3,0.1518978057810456,4,-0.10504086165257893,0.060031087899947946
Greg Roman,00-0023436,Alex Smith,2011,2012,2,5,-0.2814198864033612,2,0.12579789257455878,7,0.005075710104688705,0.2864955965080499
Jay Gruden,00-0023436,Alex Smith,2018,2018,1,12,-0.024546010156889033,1,-0.2920637829912024,1,-0.533357771260997,-0.508811761104108
Jim Harbaugh,00-0023436,Alex Smith,2011,2012,2,5,-0.2814198864033612,2,0.12579789257455878,7,0.005075710104688705,0.2864955965080499
Jim Hostler,00-0023436,Alex Smith,2007,2007,1,2,-0.2633404468315401,1,-0.4718479543666405,11,-0.011040438918649708,0.2523000079128904
Jim Tomsula,00-0023436,Alex Smith,2010,2010,1,4,-0.30773133333626984,1,-0.1761740986717267,9,0.03190286176465984,0.3396341951009297
Jimmy Raye,00-0023436,Alex Smith,2009,2010,2,3,-0.33284294934324027,2,-0.2042852919935427,9,0.03190286176465984,0.3647458111079001
Matt Cavanaugh,00-0023436,Alex Smith,2018,2018,1,12,-0.024546010156889033,1,-0.2920637829912024,1,-0.533357771260997,-0.508811761104108
Matt Nagy,00-0023436,Alex Smith,2016,2017,2,10,-0.0699810229524552,2,0.20262905382094185,2,-0.4127107771260997,-0.3427297541736445
Mike Johnson,00-0023436,Alex Smith,2010,2010,1,4,-0.30773133333626984,1,-0.1761740986717267,9,0.03190286176465984,0.3396341951009297
Mike Singletary,00-0023436,Alex Smith,2009,2010,2,3,-0.33284294934324027,2,-0.2042852919935427,9,0.03190286176465984,0.3647458111079001
Norv Turner,00-0023436,Alex Smith,2006,2006,1,1,-0.2885964427750773,1,-0.2380844508880029,12,-0.04944106520598227,0.23915537756909502
Adam Stenavich,00-0023459,Aaron Rodgers,2022,2022,1,13,0.2916011165216591,1,0.0848214285714286,2,-0.1432291666666666,-0.43483028318832573
Edgar Bennett,00-0023459,Aaron Rodgers,2015,2017,3,7,0.33669919167877943,2,0.2317700097512123,7,0.10982046410939739,-0.22687872756938204
Jeff Ulbrich,00-0023459,Aaron Rodgers,2024,2024,1,14,0.2768311388109283,1,-0.1276041666666666,1,-0.1588541666666666,-0.4356853054775949
Matt LaFleur,00-0023459,Aaron Rodgers,2019,2022,4,10,0.29971205782626786,4,0.21962884127257937,2,-0.1432291666666666,-0.4429412244929345
Nathaniel Hackett,00-0023459,Aaron Rodgers,2019,2024,5,10,0.29971205782626786,4,0.16652244246305556,1,-0.1588541666666666,-0.4585662244929345
Robert Saleh,00-0023459,Aaron Rodgers,2023,2023,1,14,0.2768311388109283,0,,2,-0.1432291666666666,-0.4200603054775949
Robert Saleh (fired on October 8),00-0023459,Aaron Rodgers,2024,2024,1,14,0.2768311388109283,1,-0.1276041666666666,1,-0.1588541666666666,-0.4356853054775949
Tom Clements,00-0023459,Aaron Rodgers,2012,2014,3,4,0.3345689035423991,3,0.33953957586062006,9,0.13692036314091183,-0.19764854040148727
Al Saunders,00-0023460,Jason Campbell,2011,2011,1,4,-0.08639207698474484,0,,1,-0.3453716690042075,-0.2589795920194627
Lovie Smith,00-0023460,Jason Campbell,2012,2012,1,4,-0.08639207698474484,0,,1,-0.3453716690042075,-0.2589795920194627
Mike Tice,00-0023460,Jason Campbell,2012,2012,1,4,-0.08639207698474484,0,,1,-0.3453716690042075,-0.2589795920194627
Sherman Smith,00-0023460,Jason Campbell,2008,2009,2,1,-0.0655979543666405,2,-0.14564812745030603,2,-0.16702288383796715,-0.10142492947132666
Tom Cable,00-0023460,Jason Campbell,2010,2010,1,3,-0.11896473642241752,1,0.0113259013282732,1,-0.3453716690042075,-0.22640693258179
Bill Callahan,00-0023541,Kyle Orton,2012,2013,2,4,-0.19682919908685403,0,,1,-0.3006094208211144,-0.10378022173426038
Jason Garrett,00-0023541,Kyle Orton,2012,2013,2,4,-0.19682919908685403,0,,1,-0.3006094208211144,-0.10378022173426038
John Fox,00-0023541,Kyle Orton,2011,2011,1,4,-0.19682919908685403,0,,1,-0.3006094208211144,-0.10378022173426038
Josh McDaniels,00-0023541,Kyle Orton,2009,2009,1,2,-0.29874810618016534,1,-0.1073964853153587,2,-0.19151675974642057,0.10723134643374477
Josh McDaniels {{small|(fired December 6)}},00-0023541,Kyle Orton,2010,2010,1,3,-0.23496423255856314,1,-0.0824240986717267,1,-0.3006094208211144,-0.06564518826255128
Mike McCoy,00-0023541,Kyle Orton,2009,2011,3,2,-0.29874810618016534,2,-0.0949102919935427,1,-0.3006094208211144,-0.0018613146409490744
Eric Mangini,00-0023645,Derek Anderson,2009,2009,1,2,-0.155998861975947,0,,1,-0.4574240986717267,-0.3014252366957797
Bill Muir,00-0023662,Matt Cassel,2011,2011,1,3,0.073343215475887,1,-0.3817540322580645,2,-0.4293628377121796,-0.5027060531880666
