coach,n_qbs,avg_delta,avg_pctile_with,avg_pctile_elsewhere,t_stat,p_value
Mike Sullivan,3,-0.08593749999999999,0.3020833333333333,0.3880208333333333,-0.44407122348122735,0.7004164864588328
Eric Mangini,3,-0.0859543010752688,0.453125,0.5390793010752688,-0.7933589460152466,0.5107398174795572
Mike Sheppard,2,-0.09538810483870969,0.31754032258064513,0.41292842741935487,-1.5109780439121763,0.37219452018472843
Ken Whisenhunt,4,-0.09539874188311687,0.533203125,0.6286018668831168,-0.9603103918555206,0.4077415114275469
Arthur Smith,5,-0.09575148809523808,0.48125,0.5770014880952381,-0.5367737177609707,0.6198883594438364
Sean Payton,4,-0.0974180347542243,0.5028801843317973,0.6002982190860215,-1.0433730412963274,0.37345365009963255
Rex Ryan,3,-0.09895833333333333,0.3854166666666667,0.484375,-0.5204014838815378,0.6546595977983489
Bill Callahan,3,-0.10523073476702505,0.5882056451612904,0.6934363799283153,-1.0969490038940157,0.38710253274867
Jon Gruden,5,-0.10681115591397847,0.541263440860215,0.6480745967741935,-1.0553485462163572,0.35079093408741674
Jay Gruden,6,-0.10827164733414733,0.3298611111111111,0.4381327584452584,-1.2428190215116637,0.26903742513324047
Chris Palmer,2,-0.11595262096774195,0.36328125,0.47923387096774195,-93.89795918367446,0.006779654330895533
Brian Callahan,3,-0.11931818181818182,0.2708333333333333,0.39015151515151514,-0.9887600349925395,0.4270003693312756
Ken Dorsey,2,-0.12388392857142855,0.5,0.6238839285714286,-0.3436532507739937,0.7892727762267131
Greg Olson,5,-0.12875,0.2966666666666667,0.42541666666666667,-1.6736724201077269,0.16950888886682322
Mike McCarthy,6,-0.13154655044776012,0.44091621863799285,0.572462769085753,-1.3413696805289819,0.2375011482315666
Matt Rhule,2,-0.1333333333333333,0.265625,0.3989583333333333,-2.206896551724137,0.27084965129638644
Dennis Green,2,-0.14322916666666669,0.3125,0.4557291666666667,-1.0,0.5000000000000001
George Godsey,2,-0.1453125,0.328125,0.4734375,-2.1627906976744184,0.27571329989483506
Ron Turner,3,-0.14988425925925924,0.24479166666666666,0.3946759259259259,-2.6752258704274547,0.11592767045937268
Brian Flores,2,-0.1519097222222222,0.3125,0.4644097222222222,-7.608695652173908,0.08319320219048497
Kevin Stefanski,5,-0.15223958333333332,0.38125,0.5334895833333333,-0.9810890993131582,0.3820968474689137
Rob Chudzinski,7,-0.1558834622558701,0.359375,0.5152584622558701,-1.2092520013903874,0.2720488632897108
Tom Coughlin,2,-0.15889616935483875,0.32056451612903225,0.479460685483871,-0.42075408742075415,0.7464541870396365
Dick Jauron,3,-0.16173835125448027,0.23958333333333334,0.4013216845878136,-1.1070055868584598,0.38361240433436733
Brian Daboll,4,-0.16888020833333334,0.3092447916666667,0.478125,-1.369802028363902,0.26426807712967254
Dowell Loggains,4,-0.169921875,0.2265625,0.396484375,-1.1730169245086404,0.32545073242005934
Adam Gase,4,-0.1733168230459057,0.390625,0.5639418230459057,-2.173780774225524,0.1180360768596964
Darrell Bevell,6,-0.17789778545826931,0.375,0.5528977854582693,-1.933946188667795,0.11092789617960562
Dave Ragone,2,-0.17857142857142855,0.3125,0.49107142857142855,-0.6201550387596899,0.6466074563889228
Mike Tomlin,4,-0.1787016369047619,0.4073660714285714,0.5860677083333333,-2.255335269194718,0.10939669853899477
