coach,qb_id,qb_name,n_seasons_with_coach,avg_pctile_with_coach,n_seasons_elsewhere,avg_pctile_elsewhere,delta
Brian Callahan,00-0027973,Andy Dalton,1,0.125,11,0.48295454545454547,-0.35795454545454547
Dennis Allen,00-0027973,Andy Dalton,1,0.375,11,0.4602272727272727,-0.08522727272727271
Hue Jackson,00-0027973,Andy Dalton,2,0.65625,10,0.4125,0.24375000000000002
Jay Gruden,00-0027973,Andy Dalton,3,0.5416666666666666,9,0.4236111111111111,0.11805555555555552
Kellen Moore,00-0027973,Andy Dalton,1,0.25,11,0.4715909090909091,-0.22159090909090912
Ken Zampese,00-0027973,Andy Dalton,1,0.71875,11,0.4289772727272727,0.2897727272727273
Chip Kelly,00-0027974,Colin Kaepernick,1,0.0625,2,0.53125,-0.46875
Greg Roman,00-0027974,Colin Kaepernick,2,0.53125,1,0.0625,0.46875
Aaron Glenn,00-0028118,Tyrod Taylor,1,0.125,3,0.59375,-0.46875
Anthony Lynn,00-0028118,Tyrod Taylor,1,0.78125,3,0.375,0.40625
Greg Roman,00-0028118,Tyrod Taylor,1,0.6875,3,0.40625,0.28125
Rick Dennison,00-0028118,Tyrod Taylor,1,0.3125,3,0.53125,-0.21875
Bill Callahan,00-0028986,Case Keenum,1,0.09375,3,0.375,-0.28125
Bill Musgrave,00-0028986,Case Keenum,1,0.34375,3,0.2916666666666667,0.052083333333333315
Jeff Fisher (Fired Week 14),00-0028986,Case Keenum,1,0.03125,3,0.3958333333333333,-0.3645833333333333
Mike Zimmer,00-0028986,Case Keenum,1,0.75,3,0.15625,0.59375
Arthur Smith,00-0029263,Russell Wilson,1,0.40625,12,0.6796875,-0.2734375
Brian Schottenheimer,00-0029263,Russell Wilson,3,0.7604166666666666,10,0.628125,0.13229166666666659
Darrell Bevell,00-0029263,Russell Wilson,6,0.78125,7,0.5535714285714286,0.2276785714285714
Jerry Rosburg,00-0029263,Russell Wilson,1,0.1875,12,0.6979166666666666,-0.5104166666666666
Joe Lombardi,00-0029263,Russell Wilson,1,0.40625,12,0.6796875,-0.2734375
Shane Waldron,00-0029263,Russell Wilson,1,0.59375,12,0.6640625,-0.0703125
Chip Kelly,00-0029567,Nick Foles,1,0.90625,1,0.03125,0.875
Rob Boras,00-0029567,Nick Foles,1,0.03125,1,0.90625,-0.875
Gary Kubiak,00-0029604,Kirk Cousins,1,0.71875,9,0.5555555555555556,0.16319444444444442
Jay Gruden,00-0029604,Kirk Cousins,3,0.65625,7,0.5357142857142857,0.1205357142857143
Kevin O'Connell,00-0029604,Kirk Cousins,2,0.5,8,0.58984375,-0.08984375
Kevin Stefanski,00-0029604,Kirk Cousins,2,0.46875,8,0.59765625,-0.12890625
Klint Kubiak,00-0029604,Kirk Cousins,1,0.46875,9,0.5833333333333334,-0.11458333333333337
Raheem Morris,00-0029604,Kirk Cousins,1,0.625,9,0.5659722222222222,0.05902777777777779
Jay Gruden,00-0029665,Robert Griffin,1,0.28125,2,0.640625,-0.359375
Kyle Shanahan,00-0029665,Robert Griffin,2,0.640625,1,0.28125,0.359375
Bruce Arians,00-0029668,Andrew Luck,1,0.625,4,0.703125,-0.078125
Chuck Pagano,00-0029668,Andrew Luck,3,0.6979166666666666,2,0.671875,0.02604166666666663
Frank Reich,00-0029668,Andrew Luck,1,0.71875,4,0.6796875,0.0390625
Adam Gase,00-0029701,Ryan Tannehill,2,0.328125,8,0.546875,-0.21875
Arthur Smith,00-0029701,Ryan Tannehill,2,0.90625,8,0.40234375,0.50390625
Bill Lazor,00-0029701,Ryan Tannehill,1,0.6875,9,0.4826388888888889,0.2048611111111111
Dan Campbell,00-0029701,Ryan Tannehill,1,0.40625,9,0.5138888888888888,-0.10763888888888884
Joe Philbin,00-0029701,Ryan Tannehill,2,0.328125,8,0.546875,-0.21875
Mike Vrabel,00-0029701,Ryan Tannehill,2,0.40625,8,0.52734375,-0.12109375
Doug Marrone,00-0030520,Mike Glennon,1,0.1875,1,0.1875,0.0
Greg Schiano,00-0030520,Mike Glennon,1,0.1875,1,0.1875,0.0
Greg Olson,00-0030565,Geno Smith,1,0.03125,5,0.41875,-0.3875
Marty Mornhinweg,00-0030565,Geno Smith,2,0.15625,4,0.453125,-0.296875
Mike Macdonald,00-0030565,Geno Smith,1,0.46875,5,0.33125,0.1375
Shane Waldron,00-0030565,Geno Smith,2,0.65625,4,0.203125,0.453125
Joe Brady,00-0031237,Teddy Bridgewater,1,0.4375,3,0.5104166666666666,-0.07291666666666663
Mike Zimmer,00-0031237,Teddy Bridgewater,2,0.5,2,0.484375,0.015625
Pat Shurmur,00-0031237,Teddy Bridgewater,1,0.53125,3,0.4791666666666667,0.052083333333333315
Bill Musgrave,00-0031280,Derek Carr,2,0.53125,9,0.4236111111111111,0.1076388888888889
Darren Rizzi,00-0031280,Derek Carr,1,0.25,10,0.4625,-0.21250000000000002
Dennis Allen,00-0031280,Derek Carr,2,0.3125,9,0.4722222222222222,-0.1597222222222222
Greg Olson,00-0031280,Derek Carr,4,0.4921875,7,0.41517857142857145,0.07700892857142855
Jack Del Rio,00-0031280,Derek Carr,1,0.5,10,0.4375,0.0625
Josh McDaniels,00-0031280,Derek Carr,1,0.46875,10,0.440625,0.02812500000000001
Doug Marrone,00-0031407,Blake Bortles,3,0.34375,2,0.171875,0.171875
Greg Olson,00-0031407,Blake Bortles,1,0.28125,4,0.2734375,0.0078125
Gus Bradley,00-0031407,Blake Bortles,1,0.0625,4,0.328125,-0.265625
Bruce Arians,00-0031503,Jameis Winston,1,0.46875,6,0.4427083333333333,0.026041666666666685
Dirk Koetter,00-0031503,Jameis Winston,4,0.59375,3,0.25,0.34375
Ken Dorsey,00-0031503,Jameis Winston,1,0.03125,6,0.515625,-0.484375
Pete Carmichael,00-0031503,Jameis Winston,1,0.25,6,0.4791666666666667,-0.22916666666666669
Gary Kubiak,00-0032156,Trevor Siemian,1,0.1875,1,0.125,0.0625
"Mike McCoy (fired November 20, 2017)",00-0032156,Trevor Siemian,1,0.125,1,0.1875,-0.0625
Arthur Smith,00-0032268,Marcus Mariota,1,0.4375,4,0.328125,0.109375
Jason Michael,00-0032268,Marcus Mariota,1,0.0625,4,0.421875,-0.359375
Matt LaFleur,00-0032268,Marcus Mariota,1,0.28125,4,0.3671875,-0.0859375
Mike Mularkey,00-0032268,Marcus Mariota,2,0.484375,3,0.2604166666666667,0.22395833333333331
Doug Pederson,00-0032950,Carson Wentz,5,0.4875,1,0.625,-0.1375
Frank Reich,00-0032950,Carson Wentz,1,0.625,5,0.4875,0.1375
Brian Schottenheimer,00-0033077,Dak Prescott,3,0.6666666666666666,6,0.75,-0.08333333333333337
Jason Garrett,00-0033077,Dak Prescott,4,0.7421875,5,0.70625,0.035937499999999956
Kellen Moore,00-0033077,Dak Prescott,2,0.765625,7,0.7098214285714286,0.0558035714285714
Anthony Lynn,00-0033106,Jared Goff,1,0.28125,8,0.73046875,-0.44921875
Ben Johnson,00-0033106,Jared Goff,3,0.8541666666666666,6,0.59375,0.26041666666666663
Dan Campbell,00-0033106,Jared Goff,1,0.75,8,0.671875,0.078125
Jedd Fisch,00-0033106,Jared Goff,1,0.4375,8,0.7109375,-0.2734375
