season,team,games,total_points,ppg,plays,total_epa,mean_epa,total_yards,games_est,yards_per_game,epa_per_play
2006,PIT,16,353.0,22.0625,1042,4.005703994737232,0.0038442456763313,5738.0,16,358.625,0.0038442456763313
2006,SEA,16,335.0,20.9375,1072,-79.2644072914301,-0.0739406784434982,4985.0,16,311.5625,-0.0739406784434982
2006,SF,16,298.0,18.625,931,-85.0096134705068,-0.0913100037277194,4885.0,16,305.3125,-0.0913100037277194
2006,TB,16,211.0,13.1875,992,-184.53975651333175,-0.1860279803561812,4327.0,16,270.4375,-0.1860279803561812
2006,TEN,16,324.0,20.25,973,-79.8250391914528,-0.0820401224989237,4823.0,16,301.4375,-0.0820401224989237
2006,WAS,16,307.0,19.1875,1009,-4.404755021188466,-0.0043654658287298,5256.0,16,328.5,-0.0043654658287298
2007,ARI,16,404.0,25.25,1042,-38.93802602012892,-0.0373685470442695,5514.0,16,344.625,-0.0373685470442695
2007,ATL,16,259.0,16.1875,1014,-151.18542332399537,-0.14909805061538,4830.0,16,301.875,-0.14909805061538
2007,BAL,16,275.0,17.1875,1060,-115.85404407529984,-0.1092962679955658,4836.0,16,302.25,-0.1092962679955658
2007,BUF,16,252.0,15.75,935,-115.9504095083802,-0.124011133164043,4441.0,16,277.5625,-0.124011133164043
2007,CAR,16,267.0,16.6875,1012,-89.50115983722984,-0.0884398812620848,4542.0,16,283.875,-0.0884398812620848
2007,CHI,16,334.0,20.875,1046,-132.8116521405919,-0.1269709867500878,4705.0,16,294.0625,-0.1269709867500878
2007,CIN,16,380.0,23.75,1027,23.626286658439657,0.0230051476713141,5584.0,16,349.0,0.0230051476713141
2007,CLE,16,402.0,25.125,1021,-12.00010367474972,-0.0117532846961309,5637.0,16,352.3125,-0.0117532846961309
2007,DAL,16,455.0,28.4375,997,107.52084059122248,0.1078443737123595,5858.0,16,366.125,0.1078443737123595
2007,DEN,16,320.0,20.0,996,-2.236066393168873,-0.0022450465794868,5551.0,16,346.9375,-0.0022450465794868
2007,DET,16,346.0,21.625,992,-65.65471612300185,-0.0661841896401228,5173.0,16,323.3125,-0.0661841896401228
2007,GB,16,435.0,27.1875,1001,74.84342475484058,0.0747686560987418,5953.0,16,372.0625,0.0747686560987418
2007,HOU,16,379.0,23.6875,976,-11.057083714000196,-0.0113289792151641,5355.0,16,334.6875,-0.0113289792151641
2007,IND,16,450.0,28.125,1031,144.2728818366439,0.1399348999385488,5764.0,16,360.25,0.1399348999385488
2007,JAX,16,411.0,25.6875,1033,112.41582732038653,0.1088246150245755,5743.0,16,358.9375,0.1088246150245755
2007,KC,16,226.0,14.125,1035,-137.47351820441523,-0.1328246552699664,4436.0,16,277.25,-0.1328246552699664
2007,LA,16,263.0,16.4375,1048,-155.70649707517893,-0.1485749017892928,4774.0,16,298.375,-0.1485749017892928
2007,LAC,16,412.0,25.75,996,-22.65435060230763,-0.0227453319300277,5050.0,16,315.625,-0.0227453319300277
2007,LV,16,283.0,17.6875,1050,-108.33447361989664,-0.1031756891618063,4724.0,16,295.25,-0.1031756891618063
2007,MIA,16,267.0,16.6875,1012,-77.16147773339642,-0.0762465194994035,4615.0,16,288.4375,-0.0762465194994035
2007,MIN,16,365.0,22.8125,974,-28.737018073075895,-0.0295041253317001,5393.0,16,337.0625,-0.0295041253317001
2007,NE,16,589.0,36.8125,1079,277.3832913089898,0.2570744127052732,6603.0,16,412.6875,0.2570744127052732
2007,NO,16,379.0,23.6875,1089,15.112273835485311,0.0138772027874061,5808.0,16,363.0,0.0138772027874061
2007,NYG,16,373.0,23.3125,1063,-41.53773290364313,-0.0390759481689963,5320.0,16,332.5,-0.0390759481689963
2007,NYJ,16,268.0,16.75,1032,-76.97842875999771,-0.0745915007364318,4723.0,16,295.1875,-0.0745915007364318
2007,PHI,16,336.0,21.0,1059,40.78511146945439,0.0385128531345178,5741.0,16,358.8125,0.0385128531345178
2007,PIT,16,393.0,24.5625,1003,57.616473950968526,0.0574441415263893,5252.0,16,328.25,0.0574441415263893
2007,SEA,16,393.0,24.5625,1061,6.1421200354322725,0.0057889915508315,5606.0,16,350.375,0.0057889915508315
2007,SF,16,219.0,13.6875,933,-237.63707696310036,-0.2547021189315116,3811.0,16,238.1875,-0.2547021189315116
2007,TB,16,334.0,20.875,981,-6.210379425665858,-0.0063306620037368,5243.0,16,327.6875,-0.0063306620037368
2007,TEN,16,301.0,18.8125,1042,-68.83867115879255,-0.0660639838376128,5004.0,16,312.75,-0.0660639838376128
2007,WAS,16,334.0,20.875,1067,-43.048456367615245,-0.0403453199321604,5349.0,16,334.3125,-0.0403453199321604
2008,ARI,16,427.0,26.6875,1020,50.0340202168684,0.0490529609969298,5870.0,16,366.875,0.0490529609969298
2008,ATL,16,391.0,24.4375,1025,68.47160667353003,0.0668015674863707,5799.0,16,362.4375,0.0668015674863707
