team,plays,total_epa,mean_epa,total_yards,games_est,season
TB,1006,-65.2426040447609,-0.06485348314588558,4733.0,16,2005
TEN,1046,-119.34402273289548,-0.11409562402762474,5130.0,16,2005
WAS,1066,14.547953223685742,0.01364723566949882,5308.0,16,2005
ARI,1019,-47.173176197666606,-0.04629359783873072,5012.0,16,2006
ATL,1030,-52.957111152422755,-0.051414671021769665,5317.0,16,2006
BAL,1014,-15.005487725570259,-0.014798311366440097,5102.0,16,2006
BUF,924,-81.72563442326492,-0.08844765630223476,4273.0,16,2006
CAR,1006,-71.18927289239546,-0.0707646847836933,4938.0,16,2006
CHI,1061,-49.06717601239174,-0.046246160237881,5226.0,16,2006
CIN,1006,44.81184968021195,0.04454458218708941,5475.0,16,2006
CLE,963,-189.911994965479,-0.19720871751347768,4240.0,16,2006
DAL,1053,77.28751639439042,0.07339745146665758,5792.0,16,2006
DEN,986,-44.47204045788261,-0.045103489308197374,4966.0,16,2006
DET,1001,-112.53868662678067,-0.11242626036641426,4956.0,16,2006
GB,1104,-74.10412704371129,-0.06712330348162254,5455.0,16,2006
HOU,975,-59.09835791727138,-0.060613700427970645,4478.0,16,2006
IND,1024,156.85942537491235,0.15318303259268784,6080.0,16,2006
JAX,1005,10.179479609008423,0.010128835431849177,5441.0,16,2006
KC,1016,-8.011429889187113,-0.007885265638963693,5157.0,16,2006
LA,1084,43.268336135126745,0.039915439239046814,5780.0,16,2006
LAC,1030,135.97527391101391,0.13201482903981934,5847.0,16,2006
LV,986,-253.7350780643478,-0.2573378073674927,3941.0,16,2006
MIA,1050,-107.44500761731723,-0.10232857868315927,4973.0,16,2006
MIN,1057,-163.0361924564827,-0.15424426911682373,4952.0,16,2006
NE,1062,68.98303523377649,0.06495577705628672,5405.0,16,2006
NO,1082,80.33699076589744,0.07424860514408266,6299.0,16,2006
NYG,1033,-19.705011246653267,-0.01907551911583085,5229.0,16,2006
NYJ,1037,-19.88084605596068,-0.01917150053612409,4902.0,16,2006
PHI,1001,55.71820630420845,0.055662543760448005,6081.0,16,2006
PIT,1042,4.005703994737232,0.0038442456763313165,5738.0,16,2006
SEA,1072,-79.2644072914301,-0.07394067844349823,4985.0,16,2006
SF,931,-85.0096134705068,-0.09131000372771945,4885.0,16,2006
TB,992,-184.53975651333178,-0.18602798035618123,4327.0,16,2006
TEN,973,-79.8250391914528,-0.08204012249892374,4823.0,16,2006
WAS,1009,-4.404755021188466,-0.004365465828729897,5256.0,16,2006
ARI,1042,-38.938026020128916,-0.03736854704426959,5514.0,16,2007
ATL,1014,-151.18542332399537,-0.14909805061538003,4830.0,16,2007
BAL,1060,-115.85404407529983,-0.10929626799556587,4836.0,16,2007
BUF,935,-115.9504095083802,-0.124011133164043,4441.0,16,2007
CAR,1012,-89.50115983722984,-0.08843988126208482,4542.0,16,2007
CHI,1046,-132.8116521405919,-0.12697098675008786,4705.0,16,2007
CIN,1027,23.626286658439657,0.023005147671314174,5584.0,16,2007
CLE,1021,-12.000103674749719,-0.011753284696130968,5637.0,16,2007
DAL,997,107.52084059122247,0.10784437371235954,5858.0,16,2007
DEN,996,-2.236066393168873,-0.0022450465794868206,5551.0,16,2007
DET,992,-65.65471612300185,-0.06618418964012283,5173.0,16,2007
GB,1001,74.84342475484058,0.07476865609874184,5953.0,16,2007
HOU,976,-11.057083714000196,-0.011328979215164136,5355.0,16,2007
IND,1031,144.2728818366439,0.13993489993854888,5764.0,16,2007
JAX,1033,112.41582732038651,0.10882461502457552,5743.0,16,2007
KC,1035,-137.47351820441523,-0.1328246552699664,4436.0,16,2007
LA,1048,-155.70649707517893,-0.14857490178929286,4774.0,16,2007
LAC,996,-22.65435060230763,-0.022745331930027743,5050.0,16,2007
LV,1050,-108.33447361989664,-0.10317568916180632,4724.0,16,2007
MIA,1012,-77.16147773339642,-0.07624651949940359,4615.0,16,2007
MIN,974,-28.737018073075898,-0.0295041253317001,5393.0,16,2007
NE,1079,277.3832913089898,0.2570744127052732,6603.0,16,2007
NO,1089,15.112273835485311,0.013877202787406163,5808.0,16,2007
NYG,1063,-41.53773290364313,-0.03907594816899636,5320.0,16,2007
NYJ,1032,-76.97842875999771,-0.07459150073643189,4723.0,16,2007
PHI,1059,40.78511146945439,0.03851285313451784,5741.0,16,2007
PIT,1003,57.616473950968526,0.05744414152638936,5252.0,16,2007
SEA,1061,6.1421200354322725,0.005788991550831548,5606.0,16,2007
SF,933,-237.63707696310033,-0.2547021189315116,3811.0,16,2007
TB,981,-6.210379425665858,-0.006330662003736858,5243.0,16,2007
TEN,1042,-68.83867115879255,-0.06606398383761282,5004.0,16,2007
WAS,1067,-43.048456367615245,-0.04034531993216049,5349.0,16,2007
ARI,1020,50.0340202168684,0.0490529609969298,5870.0,16,2008
