coach_name,position,draft_tier,n_distinct_players,coach_avg_tier_score,league_baseline_tier_score,overperformance,p_value
Jason Vrable,WR,Day2,5,1.8,0.63,1.17,0.2707747337842575
Kelly Skipper,RB,Day3+UDFA,19,0.175,0.315,-0.139,0.2735410481821658
Craig Ver Steeg,RB,Day3+UDFA,7,0.143,0.315,-0.172,0.2745439366544393
Keenan McCardell,WR,Day2,7,1.024,0.63,0.394,0.2830670348903549
Brian Daboll,WR,Day3+UDFA,6,0.55,0.234,0.316,0.28317783422856885
Nolan Cromwell,WR,Day2,8,1.025,0.63,0.395,0.2853189801799556
Edgar Bennett,WR,Day3+UDFA,20,0.407,0.234,0.173,0.289478686279728
Kelly Skipper,RB,Day2,11,0.727,1.096,-0.368,0.29179275250126524
Stump Mitchell,RB,Day2,7,1.764,1.096,0.669,0.29217609582350107
Hubbard Alexander,WR,Day3+UDFA,5,1.0,0.234,0.766,0.2924305434615372
Jimmy Robinson,WR,Day3+UDFA,9,0.583,0.234,0.349,0.30281054437630556
Wes Chandler,WR,Day1,6,0.75,1.299,-0.549,0.3031735979693036
Wade Wilson,QB,Day3+UDFA,7,0.908,0.419,0.489,0.30358236529139637
Mike Sheppard,WR,Day2,7,1.226,0.63,0.596,0.31889717911693305
James Urban,QB,Day1,5,1.9,1.321,0.579,0.31980004901369985
Brian Angelichio,TE,Day2,9,0.593,0.837,-0.244,0.3280461220554756
Mike McDaniel,WR,Day3+UDFA,8,0.625,0.234,0.391,0.3316263796608566
Andrew Hayes-Stoker,WR,Day2,5,0.3,0.63,-0.33,0.3332863473203128
Sean Ryan,QB,Day3+UDFA,5,0.2,0.419,-0.219,0.33410357891774717
Thomas Hammock,RB,Day3+UDFA,8,0.646,0.315,0.331,0.3398613888776858
Bob Bicknell,WR,Day2,6,1.222,0.63,0.592,0.34024793402430853
Anthony Lynn,RB,Day2,5,2.0,1.096,0.904,0.3405866538748967
Todd Monken,WR,Day3+UDFA,11,0.136,0.234,-0.098,0.3407794992940932
Robert Ford,WR,Day3+UDFA,6,0.139,0.234,-0.095,0.3416654907607056
Bret Ingalls,RB,Day3+UDFA,6,1.042,0.315,0.727,0.34434469211131097
George Godsey,TE,Day2,6,1.722,0.837,0.886,0.3449074125941816
Jim Hostler,WR,Day1,8,0.812,1.299,-0.487,0.345491200264866
Doug Nussmeier,QB,Day3+UDFA,5,1.067,0.419,0.647,0.3479459800065127
Kirby Wilson,RB,Day3+UDFA,30,0.217,0.315,-0.098,0.35235630053672357
Charlie Joiner,WR,Day3+UDFA,11,0.43,0.234,0.196,0.3561235665177542
Darryl Drake,WR,Day1,5,0.77,1.299,-0.529,0.3643556475169966
Mike Pope,TE,Day3+UDFA,10,0.55,0.281,0.269,0.36757052859353795
Andrew Hayes-Stoker,WR,Day3+UDFA,9,0.778,0.234,0.544,0.3694903171946688
Luke Steckel,TE,Day3+UDFA,7,0.143,0.281,-0.138,0.370199485604713
Edgar Bennett,RB,Day3+UDFA,9,0.667,0.315,0.352,0.3724842329191274
Danny Barrett,RB,Day3+UDFA,10,0.6,0.315,0.285,0.37460991461913823
Robert Prince,WR,Day1,5,2.0,1.299,0.701,0.3777648948085074
