coach_name,position,n_distinct_players,n_ever_superstar,superstar_player_rate,league_base_rate,p_value
Matt LaFleur,WR,13,0,0.0,0.07049345417925479,1.0
Todd Downing,RB,11,1,0.09090909090909091,0.12995896032831739,1.0
Eric Bieniemy,TE,10,1,0.1,0.11368015414258188,1.0
Eric Bieniemy,WR,18,1,0.05555555555555555,0.07049345417925479,1.0
Nick Sirianni,WR,11,0,0.0,0.07049345417925479,1.0
Kellen Moore,TE,12,1,0.08333333333333333,0.11368015414258188,1.0
Tim Kelly,WR,22,1,0.045454545454545456,0.07049345417925479,1.0
Byron Leftwich,RB,9,1,0.1111111111111111,0.12995896032831739,1.0
Shane Steichen,RB,10,1,0.1,0.12995896032831739,1.0
Arthur Smith,RB,10,1,0.1,0.12995896032831739,1.0
Arthur Smith,WR,16,1,0.0625,0.07049345417925479,1.0
Brian Callahan,WR,14,1,0.07142857142857142,0.07049345417925479,1.0
Scott Turner,QB,8,0,0.0,0.10034602076124567,1.0
Scott Turner,RB,13,1,0.07692307692307693,0.12995896032831739,1.0
Scott Turner,TE,10,1,0.1,0.11368015414258188,1.0
Joe Brady,RB,9,1,0.1111111111111111,0.12995896032831739,1.0
Klint Kubiak,RB,10,1,0.1,0.12995896032831739,1.0
Klint Kubiak,TE,8,1,0.125,0.11368015414258188,1.0
Shane Waldron,WR,8,0,0.0,0.07049345417925479,1.0
Dave Ragone,WR,12,0,0.0,0.07049345417925479,1.0
Matt Canada,WR,8,0,0.0,0.07049345417925479,1.0
Jason Garrett (fired after week 11),WR,9,0,0.0,0.07049345417925479,1.0
Mike LaFleur,WR,18,1,0.05555555555555555,0.07049345417925479,1.0
Luke Getsy,WR,8,0,0.0,0.07049345417925479,1.0
Press Taylor,WR,10,0,0.0,0.07049345417925479,1.0
Adam Stenavich,TE,9,1,0.1111111111111111,0.11368015414258188,1.0
Adam Stenavich,WR,12,0,0.0,0.07049345417925479,1.0
Drew Petzing,WR,8,0,0.0,0.07049345417925479,1.0
Kliff Kingsbury,WR,10,0,0.0,0.07049345417925479,1.0
Brad Idzik,WR,11,0,0.0,0.07049345417925479,1.0
Nick Holz,WR,9,0,0.0,0.07049345417925479,1.0
Josh Grizzard,WR,8,0,0.0,0.07049345417925479,1.0
Tanner Engstrand,WR,8,0,0.0,0.07049345417925479,1.0
