coach_name,position,n_player_seasons,n_superstar_seasons,superstar_rate,league_base_rate,p_value
Mike McCoy,WR,22,1,0.045454545454545456,0.0410126582278481,0.6029977072961574
Kyle Shanahan,QB,18,0,0.0,0.05466970387243736,0.6189636949055244
Steve Spagnuolo,WR,23,1,0.043478260869565216,0.0410126582278481,0.6193710197752872
Kliff Kingsbury,WR,23,1,0.043478260869565216,0.0410126582278481,0.6193710197752872
Jon Gruden,QB,19,0,0.0,0.05466970387243736,0.619778501819164
Marvin Lewis,QB,19,0,0.0,0.05466970387243736,0.619778501819164
Lovie Smith,QB,20,0,0.0,0.05466970387243736,0.6216594126446471
Brad Childress,WR,24,0,0.0,0.0410126582278481,0.6231511395177787
Hue Jackson,WR,24,0,0.0,0.0410126582278481,0.6231511395177787
Frank Reich,WR,24,0,0.0,0.0410126582278481,0.6231511395177787
Mike Shanahan,WR,25,0,0.0,0.0410126582278481,0.623547089988866
Anthony Lynn,WR,25,0,0.0,0.0410126582278481,0.623547089988866
Brian Billick,WR,26,0,0.0,0.0410126582278481,0.6245484067737109
Herman Edwards,WR,26,0,0.0,0.0410126582278481,0.6245484067737109
Brad Childress,TE,16,0,0.0,0.07368918280585735,0.6248187181165822
Ken Whisenhunt,TE,16,0,0.0,0.07368918280585735,0.6248187181165822
Chuck Pagano,WR,27,0,0.0,0.0410126582278481,0.6261050603447798
Adam Gase,WR,27,0,0.0,0.0410126582278481,0.6261050603447798
Mike Mularkey,WR,28,0,0.0,0.0410126582278481,0.6281700761556037
Dennis Allen,WR,29,0,0.0,0.0410126582278481,0.6306993701848143
Rex Ryan,TE,17,0,0.0,0.07368918280585735,0.6307785826015225
Chuck Pagano,TE,17,0,0.0,0.07368918280585735,0.6307785826015225
Jay Gruden,WR,31,0,0.0,0.0410126582278481,0.6369879800027515
Jim Harbaugh,WR,32,0,0.0,0.0410126582278481,0.6406722133132292
Kevin Stefanski,WR,32,0,0.0,0.0410126582278481,0.6406722133132292
Herman Edwards,RB,15,2,0.13333333333333333,0.09202226345083488,0.642062283802229
Kevin Stefanski,TE,19,2,0.10526315789473684,0.07368918280585735,0.6460224674008608
Mike Tomlin,RB,64,7,0.109375,0.09202226345083488,0.6588787270624661
Raheem Morris,RB,18,2,0.1111111111111111,0.09202226345083488,0.6786626063050427
Kyle Shanahan,WR,48,1,0.020833333333333332,0.0410126582278481,0.7218822697502901
Jon Gruden,WR,51,1,0.0196078431372549,0.0410126582278481,0.7227541636431853
Brian Billick,RB,25,1,0.04,0.09202226345083488,0.7230937321573647
Lovie Smith,WR,58,1,0.017241379310344827,0.0410126582278481,0.7319948732187869
Sean McDermott,RB,30,3,0.1,0.09202226345083488,0.7524617643458578
Mike McCarthy,TE,47,4,0.0851063829787234,0.07368918280585735,0.7743894892254832
Andy Reid,WR,128,5,0.0390625,0.0410126582278481,1.0
Bill Cowher,RB,16,1,0.0625,0.09202226345083488,1.0
Bill Cowher,WR,24,1,0.041666666666666664,0.0410126582278481,1.0
Tom Coughlin,QB,15,0,0.0,0.05466970387243736,1.0
Dick Vermeil,WR,21,0,0.0,0.0410126582278481,1.0
Dick Jauron,QB,16,0,0.0,0.05466970387243736,1.0
Marty Schottenheimer,WR,21,0,0.0,0.0410126582278481,1.0
Mike Holmgren,WR,20,0,0.0,0.0410126582278481,1.0
Dom Capers,WR,17,0,0.0,0.0410126582278481,1.0
John Fox,QB,28,1,0.03571428571428571,0.05466970387243736,1.0
John Fox,TE,44,3,0.06818181818181818,0.07368918280585735,1.0
Marvin Lewis,TE,37,2,0.05405405405405406,0.07368918280585735,1.0
Jack Del Rio,QB,16,0,0.0,0.05466970387243736,1.0
Lovie Smith,RB,44,4,0.09090909090909091,0.09202226345083488,1.0
Romeo Crennel,RB,18,1,0.05555555555555555,0.09202226345083488,1.0
Romeo Crennel,WR,29,1,0.034482758620689655,0.0410126582278481,1.0
